Coefficient,Classic Last Smoothed (%),Classic Last 50 Avg (%),Cosine Last Smoothed (%),Cosine Last 50 Avg (%)
1,29.120883426896924,26.03896099853516,16.062720507458902,14.013144943237307
2,36.92581445359966,33.49135581970215,22.291030978023347,19.486526962280276
4,42.17690423450418,38.66076205444336,26.387478882747775,24.047855514526365
6,44.32897961052966,41.46640783691406,28.447899208251624,25.71461666870117
8,45.84237561471063,43.210282623291015,32.60372513319911,29.51264990234375
10,46.3128248032751,44.0003744506836,34.46062280063618,31.156589996337893
20,47.86991193862,46.59141445922852,38.51695243273278,35.55762292480469
