Coefficient,Classic Last Smoothed,Classic Last 50 Avg,Cosine Last Smoothed,Cosine Last 50 Avg
1,291.2088342689691,260.38960998535157,160.62720507458903,140.13144943237305
2,369.2581445359966,334.9135581970215,222.91030978023358,194.86526962280274
4,421.76904234504184,386.6076205444336,263.87478882747786,240.47855514526367
6,443.2897961052966,414.6640783691406,284.4789920825162,257.1461666870117
8,458.4237561471063,432.10282623291016,326.0372513319912,295.1264990234375
10,463.1282480327509,440.0037445068359,344.6062280063617,311.5658999633789
20,478.69911938620004,465.91414459228514,385.1695243273278,355.5762292480469
