Wall time,Step,Value
1762521173.5167325,10000,33.96367645263672
1762521177.8892813,20000,81.31665802001953
1762521183.551142,30000,35.817047119140625
1762521188.169005,40000,54.62114334106445
1762521193.9218326,50000,40.388519287109375
1762521234.1712935,60000,88.25029754638672
1762521239.6878362,70000,76.63804626464844
1762521243.7498279,80000,114.092529296875
1762521249.8781118,90000,122.9742431640625
1762521253.6378987,100000,121.97319030761719
1762521286.208113,110000,122.57765197753906
1762521291.287988,120000,124.62029266357422
1762521296.7714353,130000,141.4107208251953
1762521301.5045948,140000,124.98236846923828
1762521306.9527936,150000,137.01805114746094
1762521339.1337185,160000,154.98052978515625
1762521343.634587,170000,162.42559814453125
1762521348.7885978,180000,115.56285095214844
1762521353.5146644,190000,143.71200561523438
1762521358.9748588,200000,121.2807388305664
1762521393.7272696,210000,142.81781005859375
1762521399.0986347,220000,123.01276397705078
1762521404.832611,230000,131.01866149902344
1762521409.896727,240000,154.50106811523438
1762521414.8589878,250000,111.97230529785156
1762521447.6459455,260000,144.98519897460938
1762521452.0914586,270000,112.96994018554688
1762521457.0961723,280000,120.97730255126953
1762521462.3915732,290000,106.7831039428711
1762521466.7380261,300000,111.46612548828125
1762521504.7249975,310000,106.735107421875
1762521509.7161918,320000,98.65081024169922
1762521514.2691135,330000,95.45272827148438
1762521519.3535693,340000,100.98231506347656
1762521524.9124496,350000,108.2143325805664
1762521558.4633458,360000,97.01715087890625
1762521563.6305828,370000,90.35730743408203
1762521568.2382221,380000,82.5861587524414
1762521573.6110964,390000,83.79153442382812
1762521578.9764657,400000,81.09913635253906
1762521624.1396687,410000,82.19237518310547
1762521629.0800443,420000,65.2154769897461
1762521634.8017254,430000,76.76467895507812
1762521639.4470298,440000,76.83918762207031
1762521644.9429607,450000,64.67353057861328
1762521684.8572967,460000,68.72980499267578
1762521690.0217488,470000,61.061153411865234
1762521695.6172423,480000,57.116703033447266
1762521700.3840451,490000,68.14128112792969
1762521705.4475384,500000,68.93408203125
1762521744.392802,510000,56.588985443115234
1762521750.145452,520000,56.19768142700195
1762521754.8860002,530000,59.026283264160156
1762521759.6824603,540000,52.714744567871094
1762521765.072218,550000,53.729713439941406
1762521800.2957978,560000,50.86301803588867
1762521804.5904703,570000,51.89208984375
1762521809.922644,580000,46.28451156616211
1762521814.7183137,590000,46.41526412963867
1762521819.6952517,600000,44.26331329345703
1762521853.2926033,610000,46.79719161987305
1762521857.6535625,620000,46.43464660644531
1762521863.5654418,630000,43.218563079833984
1762521868.1248393,640000,42.01236343383789
1762521873.6978354,650000,41.36603927612305
1762521907.078479,660000,38.42911911010742
1762521911.3753612,670000,37.69638442993164
1762521916.898726,680000,36.558895111083984
1762521922.0900702,690000,32.506317138671875
1762521927.6686814,700000,38.23263168334961
1762521961.4086666,710000,34.78425979614258
1762521967.2857761,720000,33.970829010009766
1762521972.1782382,730000,33.191627502441406
1762521977.3148398,740000,35.266441345214844
1762521982.145771,750000,34.49564743041992
1762522019.1523407,760000,30.72987937927246
1762522023.784064,770000,27.89971923828125
1762522029.106438,780000,29.72808074951172
1762522034.7663255,790000,30.061634063720703
1762522039.664366,800000,28.08871841430664
1762522087.527786,810000,30.11174201965332
1762522092.029834,820000,26.367238998413086
1762522097.4375873,830000,34.021697998046875
1762522101.8074412,840000,30.868141174316406
1762522107.8824248,850000,30.3831729888916
1762522154.8296013,860000,29.409852981567383
1762522160.6684055,870000,26.841962814331055
1762522164.670451,880000,25.058671951293945
1762522170.1653762,890000,24.824331283569336
1762522175.5173886,900000,25.25359344482422
1762522218.4356399,910000,25.872304916381836
1762522223.8462837,920000,24.393028259277344
1762522228.4259644,930000,24.541290283203125
1762522234.1956809,940000,26.01742172241211
1762522238.7225943,950000,26.062149047851562
1762522285.4778278,960000,25.977901458740234
